,factor_weight_x,sigma_F,pnl_1sigma,RC,RC_pct
growth,0.31064,0.17158,0.0533,0.04785,58.999
term,0.070179,0.073215,0.0051382,-0.0017066,-2.1043
inflation,0.17534,0.059888,0.010501,0.0065406,8.0646
credit,0.24987,0.071132,0.017774,0.014694,18.118
