,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2021-06-30,0.00281566,0.160538,0.0214941,116.663,0.439388,0.36885,0.0497995,0.0418048,0.24485,0.205543,-0.305177,-0.256184
2021-09-30,0.0028072,0.161029,0.0213227,119.208,0.438195,0.367634,0.0467118,0.0391899,0.242583,0.203521,-0.302921,-0.254142
2021-12-31,0.00285063,0.161925,0.0211689,121.754,0.436733,0.366015,0.0473229,0.0396601,0.247697,0.207589,-0.302158,-0.253231
2022-03-31,0.00278952,0.16412,0.0210796,124.229,0.430559,0.359896,0.0436585,0.0364933,0.236998,0.198102,-0.281984,-0.235704
2022-06-30,0.00276903,0.164074,0.0209052,126.803,0.431161,0.360419,0.0461416,0.0385709,0.236917,0.198045,-0.281621,-0.235414
2022-09-30,0.00339183,0.163187,0.0209418,128.707,0.398552,0.333513,-0.0370185,-0.0309775,0.186853,0.156361,-0.244483,-0.204587
2022-12-31,0.00323403,0.164696,0.0208383,131.209,0.40445,0.337839,-0.0143747,-0.0120072,0.202199,0.168898,-0.252672,-0.211058
2023-03-31,0.00348538,0.145339,0.0206464,132.417,0.40971,0.350163,-0.00287394,-0.00245624,0.199939,0.17088,-0.259293,-0.221608
2023-06-30,0.00344764,0.137818,0.020339,134.892,0.403856,0.348198,-0.0119137,-0.0102718,0.194231,0.167463,-0.256597,-0.221234
2023-09-30,0.00336529,0.136406,0.0201768,137.387,0.399539,0.345039,-0.00147328,-0.00127231,0.20595,0.177857,-0.252922,-0.218422
2023-12-31,0.00329355,0.13516,0.0200062,139.941,0.402361,0.347978,0.00551287,0.00476775,0.207791,0.179706,-0.2582,-0.223302
2024-03-31,0.00330555,0.133913,0.0198385,142.505,0.403747,0.34968,0.0131592,0.011397,0.207988,0.180136,-0.256709,-0.222332
2024-06-30,0.00306634,0.126949,0.0198724,143.93,0.38288,0.334273,0.0360298,0.0314559,0.224494,0.195994,-0.224499,-0.195999
2024-09-30,0.00302578,0.128398,0.0197701,146.493,0.382744,0.333601,0.036602,0.0319023,0.223362,0.194683,-0.221987,-0.193484
2024-12-31,0.00308267,0.126842,0.0196963,148.725,0.387881,0.338682,0.0571089,0.0498651,0.229071,0.200015,-0.226811,-0.198042
2025-03-31,0.00277225,0.109247,0.0194139,150.423,0.394054,0.351005,0.0892185,0.0794716,0.244124,0.217454,-0.255039,-0.227177
2025-06-30,0.00288614,0.0994732,0.0191541,152.699,0.387368,0.348835,0.108368,0.097588,0.27229,0.245205,-0.261768,-0.235729
2025-09-30,0.00298919,0.100156,0.0191911,154.704,0.407219,0.366434,0.0974181,0.0876611,0.243381,0.219004,-0.286062,-0.257411
2025-12-31,0.00290319,0.0830667,0.0188679,156.658,0.396338,0.363416,0.0876923,0.080408,0.238185,0.218399,-0.283606,-0.260048
2026-03-31,0.00289501,0.08322,0.0187469,159.248,0.396096,0.363133,0.0880522,0.0807245,0.238995,0.219106,-0.283284,-0.25971
