code,order,theta_source,theta,theta_se,sum_theta,mean_reported,mean_unsmoothed,vol_reported_ann,vol_unsmoothed_ann,vol_mult,ac1_reported,ac1_unsmoothed,lb4_p_unsmoothed,n
buyout,1,estimated,0.353,0.091,0.353191,0.0309895,0.0295995,0.104835,0.150485,1.43544,0.356162,-0.0663332,0.00772618,104
vc,1,estimated,0.627,0.074,0.627236,0.0225514,0.0194304,0.138741,0.282926,2.03924,0.638184,-0.125754,0.107477,104
fof_secondary,1,estimated,0.396,0.094,0.396316,0.0319113,0.0316398,0.0962579,0.147251,1.52975,0.395034,-0.0553779,0.0355277,96
fof_primary,1,estimated,0.599,0.079,0.598714,0.0179219,0.0180447,0.0926221,0.1857,2.00493,0.598717,-0.0902875,0.031852,104
senior_loan,0,-,,,0,0.0186422,0.0186422,0.0459485,0.0459485,1,-0.0319583,-0.0319583,0.135807,64
mezzanine,1,estimated,0.299,0.094,0.299354,0.0259838,0.026124,0.108071,0.147832,1.36791,0.299354,0.0448927,0.305636,104
apac_equity,1,estimated,0.376,0.091,0.376482,0.0254819,0.0252443,0.1186,0.177025,1.49262,0.376543,-0.043885,0.385342,104
hfri_fof_cons,0,-,,,0,0.00950604,0.00950604,0.0479131,0.0479131,1,0.201782,0.201782,0.18463,105
msci_gpfi,1,estimated,0.637,0.094,0.637492,0.00910846,0.00890785,0.0746831,0.159902,2.14108,0.637543,0.0243427,0.918746,67
re_noncore,1,estimated,0.594,0.079,0.593774,0.0181667,0.0174763,0.105728,0.210413,1.99014,0.593445,-0.132359,2.34167e-05,104
gl1,0,-,,,0,0.00950893,0.00950893,0.0374673,0.0374673,1,0.0787955,0.0787955,0.978964,54
gl2,0,-,,,0,0.0206532,0.0206532,0.0246145,0.0246145,1,-0.0278334,-0.0278334,0.960542,54
epra_nareit,0,-,,,0,0.022862,0.022862,0.194395,0.194395,1,0.099299,0.099299,0.51108,105
infra_core,0,-,,,0,0.0155372,0.0155372,0.0827295,0.0827295,1,0.12225,0.12225,0.23393,78
ftse_fi_infra,0,-,,,0,0.0115914,0.0115914,0.0779542,0.0779542,1,0.00809835,0.00809835,0.496715,64
