,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2017-03-31,0.00666659,0.0198029,0.00912671,52.2571,0.218339,0.214015,0.0305258,0.0299213,-0.0163794,-0.0160551,-0.292052,-0.286269
2017-06-30,0.00655135,0.0197447,0.00894416,55.3817,0.195302,0.191445,0.0208491,0.0204374,-0.0292549,-0.0286772,-0.221757,-0.217378
2017-09-30,0.00654169,0.0199514,0.0087357,58.5984,0.193326,0.189469,0.0246876,0.024195,-0.0465716,-0.0456425,-0.177942,-0.174392
2017-12-31,0.00672301,0.0199623,0.00876124,61.354,0.210059,0.205866,0.0290658,0.0284856,-0.0384522,-0.0376846,-0.207653,-0.203507
2018-03-31,0.00669947,0.01996,0.00857519,64.6374,0.208898,0.204728,0.0294407,0.0288531,-0.0383731,-0.0376072,-0.212704,-0.208459
2018-06-30,0.00696683,0.0199637,0.0084203,67.8754,0.20728,0.203142,0.0229999,0.0225407,0.00127822,0.0012527,-0.279896,-0.274309
2018-09-30,0.00702808,0.019964,0.00825519,71.1988,0.20796,0.203809,0.0238569,0.0233806,0.012179,0.0119358,-0.298946,-0.292978
2018-12-31,0.00703617,0.0199647,0.00809691,74.5512,0.20704,0.202906,0.0218663,0.0214298,0.00697265,0.00683344,-0.286861,-0.281133
2019-03-31,0.00759533,0.0199623,0.00816898,77.172,0.158651,0.155484,0.0317475,0.0311138,0.0212113,0.0207879,-0.302011,-0.295982
2019-06-30,0.00768596,0.0199674,0.00815352,80.0642,0.140852,0.13804,0.00385872,0.00378168,0.0466275,0.0456965,-0.34792,-0.340973
2019-09-30,0.00768314,0.0199702,0.00801158,83.4214,0.142173,0.139334,-0.000448433,-0.000439477,0.047891,0.0469347,-0.358785,-0.35162
2019-12-31,0.0076776,0.0199709,0.00787599,86.8059,0.142706,0.139856,-0.000659662,-0.000646488,0.0482278,0.0472646,-0.360684,-0.353481
2020-03-31,0.00759857,0.0199707,0.00779971,90.0022,0.141522,0.138695,0.00237377,0.00232636,0.0392175,0.0384343,-0.376016,-0.368506
2020-06-30,0.00738902,0.0199759,0.00779609,92.9565,0.0924168,0.0905707,-0.0165051,-0.0161754,0.00188242,0.00184482,-0.0847269,-0.0830344
2020-09-30,0.00730876,0.0199536,0.00779286,95.9564,0.110864,0.108652,-0.0494605,-0.0484736,-0.0130451,-0.0127848,-0.169429,-0.166049
2020-12-31,0.00719268,0.0199903,0.00773654,99.0548,0.104538,0.102449,-0.0606603,-0.0594476,-0.053873,-0.052796,-0.14236,-0.139514
2021-03-31,0.0071441,0.0199911,0.00771292,102.079,0.0892675,0.087483,-0.0601283,-0.0589263,-0.0624771,-0.0612281,-0.116926,-0.114588
2021-06-30,0.00702597,0.0199928,0.00761742,105.435,0.0913898,0.0895627,-0.0510649,-0.0500439,-0.0826898,-0.0810366,-0.105621,-0.103509
2021-09-30,0.00702176,0.019993,0.00751582,108.861,0.0898832,0.0880862,-0.053588,-0.0525167,-0.0851759,-0.083473,-0.102505,-0.100456
2021-12-31,0.00704493,0.019993,0.0074172,112.305,0.0880142,0.0862545,-0.0524672,-0.0514182,-0.0797609,-0.0781663,-0.101419,-0.0993917
2022-03-31,0.00702228,0.019993,0.00734534,115.64,0.0806636,0.0790509,-0.0559959,-0.0548764,-0.0933513,-0.0914849,-0.0785213,-0.0769515
2022-06-30,0.00697189,0.0199947,0.00725333,119.1,0.0836379,0.0819656,-0.0519691,-0.05093,-0.0994686,-0.0974798,-0.0783537,-0.076787
2022-09-30,0.00706003,0.0199958,0.00717128,122.534,0.0755756,0.0740644,-0.0596522,-0.0584594,-0.102557,-0.100506,-0.0663904,-0.0650628
2022-12-31,0.00714464,0.0199703,0.00712185,125.889,0.0716369,0.0702063,-0.0739697,-0.0724925,-0.114387,-0.112102,-0.0578753,-0.0567195
2023-03-31,0.00708616,0.0199697,0.00709744,129.061,0.0693996,0.0680137,-0.0766118,-0.0750819,-0.113326,-0.111063,-0.0614764,-0.0602487
2023-06-30,0.0070253,0.0199794,0.00709532,132.033,0.0623546,0.0611088,-0.0861556,-0.0844342,-0.119127,-0.116747,-0.0462934,-0.0453684
2023-09-30,0.0070011,0.0199976,0.0070314,135.403,0.0550361,0.0539355,-0.0756602,-0.0741472,-0.102259,-0.100214,-0.0365717,-0.0358403
2023-12-31,0.0068946,0.0199883,0.00699935,138.648,0.064838,0.063542,-0.072675,-0.0712223,-0.112658,-0.110406,-0.0538802,-0.0528032
2024-03-31,0.00687798,0.0199986,0.00693107,142.105,0.0635291,0.0622586,-0.0768123,-0.0752762,-0.108223,-0.106058,-0.0560139,-0.0548937
2024-06-30,0.00684755,0.0199986,0.0068905,145.41,0.055546,0.0544352,-0.0691707,-0.0677874,-0.101087,-0.0990651,-0.0408195,-0.0400032
2024-09-30,0.00682533,0.0199987,0.00682455,148.912,0.0556868,0.0545731,-0.0698195,-0.0684232,-0.103887,-0.101809,-0.0398717,-0.0390743
2024-12-31,0.00675409,0.0199996,0.00690533,151.37,0.051445,0.0504162,-0.086812,-0.0850758,-0.103827,-0.101751,-0.0364663,-0.0357369
2025-03-31,0.00682457,0.0199987,0.00686048,154.722,0.0469305,0.0459919,-0.0908246,-0.0890082,-0.10138,-0.0993521,-0.027253,-0.0267079
2025-06-30,0.00677703,0.0199879,0.00680954,158.166,0.0521555,0.051113,-0.101616,-0.0995851,-0.121019,-0.1186,-0.0305511,-0.0299405
