,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2021-03-31,-0.00564906,0.0846267,0.0331512,90.0844,1.07757,0.986379,0.592254,0.542133,-0.118178,-0.108177,0.58159,0.532372
2021-06-30,-0.00503281,0.0914438,0.0333765,91.6533,1.0816,0.982698,0.525073,0.477058,-0.0999548,-0.0908145,0.547342,0.497291
2021-09-30,-0.00501835,0.092102,0.0331387,93.6614,1.08554,0.985559,0.535383,0.486073,-0.0918773,-0.0834152,0.542908,0.492905
2021-12-31,-0.00495153,0.093602,0.0329353,95.6811,1.08325,0.98186,0.538401,0.488006,-0.0816749,-0.0740299,0.546331,0.495193
2022-03-31,-0.00473003,0.0899936,0.0327872,97.2579,1.10403,1.00468,0.547512,0.49824,-0.0446769,-0.0406563,0.474118,0.43145
2022-06-30,-0.00386229,0.0959969,0.0330698,98.6761,1.08054,0.976807,0.444386,0.401726,-0.0381482,-0.0344861,0.467266,0.42241
2022-09-30,-0.00350477,0.094662,0.0328094,100.636,1.06216,0.961616,0.396645,0.359098,-0.0680128,-0.0615746,0.485789,0.439803
2022-12-31,-0.00355472,0.0956128,0.0325953,102.685,1.06409,0.962346,0.403868,0.365253,-0.0631282,-0.0570923,0.485152,0.438765
2023-03-31,-0.00363866,0.0985696,0.0324804,104.697,1.06284,0.958072,0.403109,0.363374,-0.0617266,-0.0556422,0.489592,0.441333
2023-06-30,-0.00380085,0.0950708,0.0325428,105.866,1.04201,0.942946,0.357165,0.323209,-0.0924608,-0.0836705,0.515866,0.466822
2023-09-30,-0.00406001,0.0966592,0.0325129,107.608,1.03111,0.931443,0.390168,0.352454,-0.0576383,-0.052067,0.53227,0.480821
2023-12-31,-0.00407696,0.0966048,0.0322782,109.67,1.03181,0.932128,0.391785,0.353937,-0.0571734,-0.0516502,0.531068,0.479764
2024-03-31,-0.00403165,0.094231,0.0320247,111.61,1.03579,0.938184,0.415729,0.376555,-0.0561281,-0.0508391,0.534075,0.483749
2024-06-30,-0.00436787,0.0838385,0.0320511,112.301,1.00023,0.91637,0.443139,0.405987,-0.0380946,-0.0349009,0.572836,0.524811
2024-09-30,-0.00456224,0.0851121,0.0319842,114.115,0.999077,0.914044,0.446393,0.4084,-0.0441115,-0.0403571,0.58306,0.533434
2024-12-31,-0.00439091,0.0812731,0.0321422,115.004,1.01224,0.929975,0.502395,0.461564,-0.0262996,-0.0241622,0.56425,0.518391
2025-03-31,-0.00485544,0.0678741,0.0318826,116.08,1.02368,0.954199,0.544407,0.507455,-0.00656794,-0.00612215,0.505166,0.470878
2025-06-30,-0.00468869,0.0642391,0.0316507,117.887,1.01564,0.950393,0.56967,0.533075,0.0324538,0.030369,0.495764,0.463916
2025-09-30,-0.00487248,0.0674199,0.0318053,119.325,0.985551,0.919106,0.591224,0.551364,0.0787258,0.0734181,0.542111,0.505562
2025-12-31,-0.00496097,0.0666823,0.0316465,121.204,0.97877,0.913504,0.585154,0.546135,0.0752249,0.0702087,0.550616,0.5139
2026-03-31,-0.00508246,0.0660731,0.0314947,123.086,0.974651,0.910252,0.589241,0.550308,0.0865478,0.0808293,0.552792,0.516267
