base,code,state,n,ann_mean,ann_vol,hit,worst_q,t_mean
reported,buyout,확장,96,0.150371,0.0900138,0.833333,-0.1005,8.1839
reported,buyout,침체,9,-0.157778,0.149138,0.333333,-0.1887,-1.5869
reported,vc,확장,96,0.118663,0.133021,0.78125,-0.133,4.37019
reported,vc,침체,9,-0.213333,0.108505,0.111111,-0.1505,-2.94916
reported,fof_secondary,확장,91,0.146703,0.0869525,0.89011,-0.0631,8.04727
reported,fof_secondary,침체,6,-0.1614,0.122838,0.166667,-0.161,-1.60922
reported,fof_primary,확장,96,0.0977917,0.081712,0.791667,-0.0763,5.86302
reported,fof_primary,침체,9,-0.206756,0.091584,0.111111,-0.1435,-3.38633
reported,senior_loan,확장,64,0.0745688,0.0459485,0.828125,-0.0718,6.49151
reported,senior_loan,침체,0,,,,,
reported,mezzanine,확장,96,0.115,0.0817163,0.833333,-0.1454,6.89437
reported,mezzanine,침체,9,-0.0140889,0.261247,0.555556,-0.1982,-0.080894
reported,apac_equity,확장,96,0.125621,0.105939,0.770833,-0.0926,5.80914
reported,apac_equity,침체,9,-0.1508,0.173021,0.111111,-0.1738,-1.30736
reported,hfri_fof_cons,확장,96,0.0472279,0.0370193,0.84375,-0.0719268,6.24995
reported,hfri_fof_cons,침체,9,-0.0601495,0.10298,0.555556,-0.11475,-0.876131
reported,msci_gpfi,확장,62,0.0623758,0.0515556,0.774194,-0.049177,4.76328
reported,msci_gpfi,침체,6,-0.231633,0.13663,0.333333,-0.154965,-2.07635
reported,re_noncore,확장,96,0.1039,0.0787949,0.802083,-0.1196,6.45986
reported,re_noncore,침체,9,-0.260489,0.193514,0.333333,-0.269,-2.01915
reported,gl1,확장,54,0.0380357,0.0374673,0.759259,-0.0441,3.72998
reported,gl1,침체,0,,,,,
reported,gl2,확장,54,0.0826129,0.0246145,0.962963,-0.0308285,12.3317
reported,gl2,침체,0,,,,,
reported,epra_nareit,확장,96,0.117108,0.163432,0.6875,-0.283352,3.51038
reported,epra_nareit,침체,9,-0.182259,0.388635,0.333333,-0.323785,-0.703458
reported,infra_core,확장,72,0.0764611,0.0732409,0.708333,-0.1074,4.42918
reported,infra_core,침체,6,-0.1096,0.140147,0.5,-0.1083,-0.957793
reported,ftse_fi_infra,확장,64,0.0463654,0.0779542,0.65625,-0.0859918,2.37911
reported,ftse_fi_infra,침체,0,,,,,
unsmoothed,buyout,확장,95,0.142741,0.136173,0.726316,-0.186831,5.10847
unsmoothed,buyout,침체,9,-0.138557,0.230988,0.444444,-0.236206,-0.899764
unsmoothed,vc,확장,95,0.106365,0.280608,0.642105,-0.523648,1.84727
unsmoothed,vc,침체,9,-0.224626,0.277953,0.444444,-0.278214,-1.21222
unsmoothed,fof_secondary,확장,90,0.147989,0.137543,0.722222,-0.141945,5.10365
unsmoothed,fof_secondary,침체,6,-0.194881,0.205348,0.166667,-0.244441,-1.16232
unsmoothed,fof_primary,확장,95,0.107217,0.173845,0.663158,-0.17949,3.00561
unsmoothed,fof_primary,침체,9,-0.297667,0.216252,0.222222,-0.252713,-2.06473
unsmoothed,senior_loan,확장,64,0.0745688,0.0459485,0.828125,-0.0718,6.49151
unsmoothed,senior_loan,침체,0,,,,,
unsmoothed,mezzanine,확장,95,0.111019,0.111817,0.789474,-0.223929,4.8386
unsmoothed,mezzanine,침체,9,0.0356436,0.364694,0.666667,-0.226271,0.146603
unsmoothed,apac_equity,확장,95,0.125544,0.160352,0.642105,-0.15977,3.81552
unsmoothed,apac_equity,침체,9,-0.158341,0.283981,0.222222,-0.223855,-0.836365
unsmoothed,hfri_fof_cons,확장,96,0.0472279,0.0370193,0.84375,-0.0719268,6.24995
unsmoothed,hfri_fof_cons,침체,9,-0.0601495,0.10298,0.555556,-0.11475,-0.876131
unsmoothed,msci_gpfi,확장,62,0.065692,0.129101,0.612903,-0.154979,2.00331
unsmoothed,msci_gpfi,침체,5,-0.33712,0.34755,0.2,-0.288434,-1.08448
unsmoothed,re_noncore,확장,95,0.108936,0.177583,0.652632,-0.237996,2.98952
unsmoothed,re_noncore,침체,9,-0.342083,0.383689,0.333333,-0.516756,-1.33735
unsmoothed,gl1,확장,54,0.0380357,0.0374673,0.759259,-0.0441,3.72998
unsmoothed,gl1,침체,0,,,,,
unsmoothed,gl2,확장,54,0.0826129,0.0246145,0.962963,-0.0308285,12.3317
unsmoothed,gl2,침체,0,,,,,
unsmoothed,epra_nareit,확장,96,0.117108,0.163432,0.6875,-0.283352,3.51038
unsmoothed,epra_nareit,침체,9,-0.182259,0.388635,0.333333,-0.323785,-0.703458
unsmoothed,infra_core,확장,72,0.0764611,0.0732409,0.708333,-0.1074,4.42918
unsmoothed,infra_core,침체,6,-0.1096,0.140147,0.5,-0.1083,-0.957793
unsmoothed,ftse_fi_infra,확장,64,0.0463654,0.0779542,0.65625,-0.0859918,2.37911
unsmoothed,ftse_fi_infra,침체,0,,,,,
