,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2021-06-30,0.0010627,0.0734745,0.00739936,180.866,0.196467,0.182032,0.0290611,0.0269259,0.34677,0.321291,0.063523,0.0588557
2021-09-30,0.00106153,0.0728619,0.00733411,184.38,0.196158,0.181866,0.0280009,0.0259607,0.345782,0.320588,0.0636484,0.0590108
2021-12-31,0.00107298,0.0735092,0.00728088,187.898,0.195685,0.1813,0.0283343,0.0262514,0.347424,0.321885,0.0641425,0.0594274
2022-03-31,0.00101556,0.0775408,0.00734069,190.688,0.189204,0.174533,0.0255807,0.0235971,0.338045,0.311832,0.0851163,0.0785163
2022-06-30,0.00102557,0.0774028,0.00728219,194.217,0.188931,0.174308,0.0243553,0.0224701,0.337991,0.31183,0.0848301,0.078264
2022-09-30,0.00130185,0.0786717,0.0073626,196.627,0.174562,0.160829,-0.012262,-0.0112973,0.31547,0.290652,0.102685,0.0946068
2022-12-31,0.00142813,0.0737662,0.0073121,199.756,0.170471,0.157896,-0.0310232,-0.0287348,0.301318,0.279091,0.106623,0.0987583
2023-03-31,0.0013856,0.0753133,0.00731201,202.896,0.168843,0.156127,-0.0331182,-0.030624,0.301659,0.27894,0.106569,0.0985428
2023-06-30,0.00136814,0.0749877,0.00727295,206.264,0.166997,0.154474,-0.0372491,-0.0344559,0.298787,0.276382,0.109569,0.101353
2023-09-30,0.00133416,0.0759888,0.00723996,209.686,0.165379,0.152812,-0.0328387,-0.0303434,0.303732,0.280652,0.112024,0.103511
2023-12-31,0.00141429,0.0777272,0.00723323,212.922,0.161881,0.149298,-0.0403442,-0.0372083,0.302095,0.278614,0.118354,0.109155
2024-03-31,0.00141508,0.0779354,0.00718399,216.464,0.162014,0.149388,-0.0394807,-0.0364038,0.302255,0.278698,0.11876,0.109504
2024-06-30,0.0014323,0.0777314,0.00713713,219.969,0.163375,0.150675,-0.0411399,-0.037942,0.301152,0.277743,0.116031,0.107011
2024-09-30,0.00140599,0.075924,0.00708506,223.415,0.163302,0.150903,-0.0411838,-0.038057,0.299424,0.27669,0.115832,0.107037
2024-12-31,0.0014165,0.0760078,0.00705028,226.847,0.164352,0.15186,-0.0366916,-0.0339027,0.30096,0.278084,0.115142,0.10639
2025-03-31,0.00143279,0.0764566,0.00700813,230.398,0.163856,0.151328,-0.0383359,-0.0354049,0.30029,0.277331,0.116335,0.10744
2025-06-30,0.0014518,0.0778265,0.00698231,233.864,0.162735,0.15007,-0.0335917,-0.0309773,0.307027,0.283133,0.117035,0.107927
2025-09-30,0.00145083,0.077933,0.00693766,237.444,0.162553,0.149884,-0.0334781,-0.030869,0.307312,0.283363,0.117334,0.10819
2025-12-31,0.00147865,0.0790341,0.00693084,240.697,0.164453,0.151456,-0.0317798,-0.0292681,0.308589,0.2842,0.11507,0.105976
2026-03-31,0.0015366,0.0842619,0.00700127,243.434,0.165995,0.152008,-0.0332845,-0.0304799,0.304802,0.279119,0.11708,0.107215
