base,code,state,n,ann_mean,ann_vol,hit,worst_q,t_mean
reported,ftse_fi_infra,성장↑인플레↓,8,0.101091,0.0398832,0.875,-0.00737664,3.58458
reported,ftse_fi_infra,성장↓인플레↑,10,0.0341113,0.0885424,0.4,-0.0509531,0.609139
reported,ftse_fi_infra,성장↓인플레↓,14,0.0720452,0.106589,0.642857,-0.073833,1.26453
unsmoothed,buyout,성장↑인플레↑,54,0.152545,0.139585,0.722222,-0.129999,4.01537
unsmoothed,buyout,성장↑인플레↓,9,0.187035,0.0851896,0.888889,-0.0352091,3.29327
unsmoothed,buyout,성장↓인플레↑,15,0.059505,0.117385,0.6,-0.148551,0.981647
unsmoothed,buyout,성장↓인플레↓,21,0.0996105,0.209874,0.761905,-0.236206,1.08749
unsmoothed,vc,성장↑인플레↑,54,0.0886215,0.211167,0.648148,-0.285652,1.54198
unsmoothed,vc,성장↑인플레↓,9,0.135592,0.209118,0.666667,-0.121903,0.972598
unsmoothed,vc,성장↓인플레↑,15,0.0381747,0.169843,0.666667,-0.190035,0.435254
unsmoothed,vc,성장↓인플레↓,21,0.152497,0.422361,0.619048,-0.278214,0.827288
unsmoothed,fof_secondary,성장↑인플레↑,54,0.156132,0.141916,0.703704,-0.0884324,4.04228
unsmoothed,fof_secondary,성장↑인플레↓,9,0.124543,0.0967291,0.666667,-0.0391744,1.93131
unsmoothed,fof_secondary,성장↓인플레↑,15,0.0508502,0.0714839,0.666667,-0.051888,1.37753
unsmoothed,fof_secondary,성장↓인플레↓,18,0.101941,0.218283,0.666667,-0.244441,0.990685
unsmoothed,fof_primary,성장↑인플레↑,54,0.0761452,0.157629,0.666667,-0.164513,1.7749
unsmoothed,fof_primary,성장↑인플레↓,9,0.15607,0.172399,0.666667,-0.101664,1.35793
unsmoothed,fof_primary,성장↓인플레↑,15,0.00623472,0.155592,0.466667,-0.162803,0.0775969
unsmoothed,fof_primary,성장↓인플레↓,21,0.12529,0.261207,0.666667,-0.252713,1.09903
unsmoothed,senior_loan,성장↑인플레↑,32,0.0682625,0.0511461,0.8125,-0.0718,3.77498
unsmoothed,senior_loan,성장↑인플레↓,8,0.08305,0.0472679,0.875,-0.0152,2.48478
unsmoothed,senior_loan,성장↓인플레↑,10,0.09644,0.0254807,0.9,-0.004,5.98433
unsmoothed,senior_loan,성장↓인플레↓,14,0.0685143,0.0469424,0.785714,-0.0411,2.73055
unsmoothed,mezzanine,성장↑인플레↑,54,0.0938796,0.0955242,0.759259,-0.146856,3.61097
unsmoothed,mezzanine,성장↑인플레↓,9,0.145126,0.0905653,0.777778,-0.0217449,2.40367
unsmoothed,mezzanine,성장↓인플레↑,15,0.0959941,0.159415,0.866667,-0.207697,1.16608
unsmoothed,mezzanine,성장↓인플레↓,21,0.119504,0.254602,0.761905,-0.226271,1.07547
unsmoothed,apac_equity,성장↑인플레↑,54,0.112435,0.167321,0.611111,-0.183621,2.46898
unsmoothed,apac_equity,성장↑인플레↓,9,0.249551,0.0928935,0.888889,-0.00858717,4.02962
unsmoothed,apac_equity,성장↓인플레↑,15,0.0337426,0.145373,0.533333,-0.120969,0.44948
unsmoothed,apac_equity,성장↓인플레↓,21,0.125292,0.233903,0.619048,-0.223855,1.22735
unsmoothed,hfri_fof_cons,성장↑인플레↑,54,0.0436095,0.0324721,0.814815,-0.0390747,4.93443
unsmoothed,hfri_fof_cons,성장↑인플레↓,9,0.0415479,0.036998,0.888889,-0.0323668,1.68447
unsmoothed,hfri_fof_cons,성장↓인플레↑,15,0.0381631,0.0540659,0.933333,-0.0835567,1.3669
unsmoothed,hfri_fof_cons,성장↓인플레↓,21,0.0187081,0.0778184,0.714286,-0.11475,0.550843
unsmoothed,msci_gpfi,성장↑인플레↑,28,0.0494439,0.121822,0.607143,-0.135533,1.07383
unsmoothed,msci_gpfi,성장↑인플레↓,8,0.183213,0.172816,0.75,-0.0209288,1.4993
unsmoothed,msci_gpfi,성장↓인플레↑,13,-0.0505428,0.14976,0.538462,-0.229826,-0.608424
unsmoothed,msci_gpfi,성장↓인플레↓,18,0.0107902,0.208191,0.5,-0.288434,0.109945
unsmoothed,re_noncore,성장↑인플레↑,54,0.160757,0.200059,0.685185,-0.179113,2.95243
unsmoothed,re_noncore,성장↑인플레↓,9,0.130456,0.0820295,0.777778,-0.0246555,2.38553
unsmoothed,re_noncore,성장↓인플레↑,15,-0.172374,0.162757,0.333333,-0.237996,-2.05091
unsmoothed,re_noncore,성장↓인플레↓,21,-0.0225747,0.273782,0.666667,-0.516756,-0.188928
unsmoothed,gl1,성장↑인플레↑,23,0.0217197,0.0380529,0.782609,-0.0441,1.36867
unsmoothed,gl1,성장↑인플레↓,7,0.0655514,0.0160326,1,0.003593,5.40875
unsmoothed,gl1,성장↓인플레↑,10,0.0454964,0.0470038,0.6,-0.0136,1.53043
unsmoothed,gl1,성장↓인플레↓,14,0.0457537,0.0371223,0.714286,-0.024797,2.30582
unsmoothed,gl2,성장↑인플레↑,23,0.0827768,0.0185126,0.956522,-0.0013313,10.722
unsmoothed,gl2,성장↑인플레↓,7,0.114895,0.0202417,1,0.0169166,7.50887
unsmoothed,gl2,성장↓인플레↑,10,0.0683377,0.0147839,1,0.0032141,7.30874
unsmoothed,gl2,성장↓인플레↓,14,0.076399,0.0368758,0.928571,-0.0308285,3.87597
unsmoothed,epra_nareit,성장↑인플레↑,54,0.0967372,0.155144,0.62963,-0.173012,2.291
unsmoothed,epra_nareit,성장↑인플레↓,9,0.22962,0.143544,0.888889,-0.0545636,2.39947
unsmoothed,epra_nareit,성장↓인플레↑,15,0.0772415,0.174283,0.6,-0.104106,0.858243
unsmoothed,epra_nareit,성장↓인플레↓,21,0.0274654,0.312131,0.666667,-0.323785,0.201618
unsmoothed,infra_core,성장↑인플레↑,39,0.0722974,0.0764915,0.692308,-0.1074,2.95129
unsmoothed,infra_core,성장↑인플레↓,8,0.0976,0.0941381,0.75,-0.0634,1.46622
unsmoothed,infra_core,성장↓인플레↑,13,0.0404308,0.0831426,0.615385,-0.0922,0.876658
unsmoothed,infra_core,성장↓인플레↓,18,0.0400889,0.0946939,0.722222,-0.1083,0.898066
unsmoothed,ftse_fi_infra,성장↑인플레↑,32,0.0252785,0.0674955,0.6875,-0.0859918,1.05931
unsmoothed,ftse_fi_infra,성장↑인플레↓,8,0.101091,0.0398832,0.875,-0.00737664,3.58458
unsmoothed,ftse_fi_infra,성장↓인플레↑,10,0.0341113,0.0885424,0.4,-0.0509531,0.609139
unsmoothed,ftse_fi_infra,성장↓인플레↓,14,0.0720452,0.106589,0.642857,-0.073833,1.26453
