quarter,Buyout,Growth,Venture Capital,Fund of Fund,GP-Stake / Continuation Vehicle,Long-term Core,Senior Credit,Junior Credit,국내 사모투자,Hedge Fund,Core RE Equity,국내 부동산,Non-Core RE Equity,Core RE Debt,Non-Core RE Debt,Listed RE,Core 국내 인프라,Non-Core 국내 인프라,Core 해외 인프라,Non-Core 해외 인프라,Super-Core Infrastructure
2025-03-31,,,,,,,,,,,0.00884689,0.00884689,,,,,,,,,
2025-06-30,,,,,,,,,,,0.0127684,0.0127684,,,,,,,,,
2025-09-30,,,,,,,,,,,0.0191705,0.0191705,,0.0222086,0.0244533,,,,,,
2025-12-31,,,,,,,,,,,0.0156733,0.0156733,,0.0110756,0.018683,,,,,,
2026-03-31,,,,,,,,,,,0.011644,0.011644,,-0.000347878,0.0205861,,,,,,
2026-06-30,0.0606894,0.0722253,0.0722253,0.0469391,0.0469391,0.0510716,0.0271488,0.0477499,0.0634989,0.0269493,0.0287595,0.0287595,0.0221824,0.0189078,0.0211243,0.107486,0.0324449,0.0324449,0.0324449,0.0324449,-0.00424403
2026-09-30,0.0396996,0.0582746,0.0582746,0.0478093,0.0478093,0.0388632,0.0181247,0.0275537,0.0341441,0.0146345,0.0206832,0.0206832,0.0255941,-0.00634877,0.0220574,-0.0299477,0.0205113,0.0205113,0.0205113,0.0205113,-0.0262602
