date,buyout|growth,buyout|term,buyout|inflation,buyout|credit,buyout|n,vc|growth,vc|term,vc|inflation,vc|credit,vc|n,fof_secondary|growth,fof_secondary|term,fof_secondary|inflation,fof_secondary|credit,fof_secondary|n,fof_primary|growth,fof_primary|term,fof_primary|inflation,fof_primary|credit,fof_primary|n,senior_loan|growth,senior_loan|term,senior_loan|inflation,senior_loan|credit,senior_loan|n,mezzanine|growth,mezzanine|term,mezzanine|inflation,mezzanine|credit,mezzanine|n,apac_equity|growth,apac_equity|term,apac_equity|inflation,apac_equity|credit,apac_equity|n,hfri_fof_cons|growth,hfri_fof_cons|term,hfri_fof_cons|inflation,hfri_fof_cons|credit,hfri_fof_cons|n,msci_gpfi|growth,msci_gpfi|term,msci_gpfi|inflation,msci_gpfi|credit,msci_gpfi|n,re_noncore|growth,re_noncore|term,re_noncore|inflation,re_noncore|credit,re_noncore|n,gl1|growth,gl1|term,gl1|inflation,gl1|credit,gl1|n,gl2|growth,gl2|term,gl2|inflation,gl2|credit,gl2|n,epra_nareit|growth,epra_nareit|term,epra_nareit|inflation,epra_nareit|credit,epra_nareit|n,infra_core|growth,infra_core|term,infra_core|inflation,infra_core|credit,infra_core|n,ftse_fi_infra|growth,ftse_fi_infra|term,ftse_fi_infra|inflation,ftse_fi_infra|credit,ftse_fi_infra|n
2015-03-31,0.50766,0.099861,-0.18418,-0.52914,20,0.35242,-0.48907,-0.21474,-1.425,20,0.22212,-0.048175,0.056472,-0.35248,20,0.46975,0.2667,-0.61318,-1.2082,20,0.21774,0.12775,0.087073,1.3688,20,0.66868,0.013135,0.34651,2.2489,20,0.60008,0.43981,-1.1802,-0.39739,20,0.19962,-0.11802,-0.15708,0.38825,20,0.9108,0.25739,-1.7463,0.09183,20,0.24815,-0.069529,-0.21695,-0.27929,20,,,,,,,,,,,0.8571,0.79025,0.057043,0.24394,20,0.44715,0.018287,0.058761,1.1529,20,-0.079464,0.55367,0.13193,0.73457,20
2015-06-30,0.51465,-0.068957,0.019694,-0.69289,20,0.35281,-0.53376,-0.1962,-1.5528,20,0.24946,-0.24326,0.23999,-0.59462,20,0.46159,0.12998,-0.39185,-1.3145,20,0.25972,0.012638,0.23177,1.348,20,0.70342,-0.088759,0.42742,2.1121,20,0.67074,0.15632,-0.80627,-0.77028,20,0.20999,-0.11361,-0.1622,0.36818,20,0.81075,0.3602,-1.4056,-0.99236,20,0.39954,-0.22035,-0.27721,-1.1319,20,,,,,,,,,,,0.90657,0.9076,-0.12164,0.4624,20,0.50925,-0.21801,0.39744,0.11034,20,-0.11485,0.64103,0.038276,0.80857,20
2015-09-30,0.42703,-0.36095,0.62106,0.044591,20,0.4179,-0.41586,-0.4096,-2.3157,20,0.20411,-0.50633,0.98337,-0.16189,20,0.31711,-0.28901,0.32346,-0.089648,20,0.10266,-0.10561,0.3791,1.2679,20,0.95892,0.05617,0.48486,2.2799,20,0.56322,-0.25908,-0.053693,0.31391,20,0.22535,-0.11544,-0.18242,0.27002,20,0.23592,-0.068089,0.020435,0.21365,20,0.33829,-0.49312,0.11546,-0.67132,20,,,,,,,,,,,0.7511,0.82047,-0.33744,1.0041,20,0.4261,-0.54267,0.94542,0.89917,20,0.035741,0.59652,0.024817,0.96228,20
2015-12-31,0.40183,-0.28633,0.62843,0.14262,20,0.3719,-0.28309,-0.89723,-2.1566,20,0.11387,-0.17013,0.28537,0.19359,20,0.28233,-0.16791,0.065694,0.047479,20,0.089369,-0.048565,0.4151,1.2305,20,0.93615,0.1089,0.59783,2.2157,20,0.53024,-0.13467,-0.58978,0.45805,20,0.21713,-0.088539,-0.26347,0.30328,20,0.2192,-0.2879,0.75829,-0.33923,20,0.26138,-0.22555,-0.65658,-0.10347,20,0.061671,0.24908,-0.080506,0.19676,16,0.16143,-0.17207,-0.066885,0.19524,16,0.76034,0.84868,-0.61483,1.065,20,0.43536,-0.69459,1.4144,0.54766,20,0.01532,0.64387,-0.1273,1.0032,20
2016-03-31,0.39914,-0.26285,0.70037,0.12732,20,0.40502,-0.53338,-0.75428,-2.0849,20,0.13034,-0.23093,0.74048,0.26187,20,0.29092,-0.20903,0.24595,0.076043,20,0.096625,0.0030309,0.56834,1.2241,20,0.9261,0.2437,0.77188,2.1873,20,0.56435,-0.23681,0.22417,0.6175,20,0.22091,-0.1462,-0.36312,0.29957,20,0.22631,-0.25654,0.93921,-0.35437,20,0.2811,-0.25406,-0.16692,-0.14742,20,0.069668,0.28863,-0.034103,0.20238,17,0.18628,-0.051853,0.068915,0.15246,17,0.75778,0.89308,-0.57977,1.1008,20,0.41929,-0.59593,1.4319,0.56586,20,0.022698,0.69558,-0.16187,1.0338,20
2016-06-30,0.40374,-0.32436,0.55216,0.29551,20,0.41633,-0.63144,-1.0446,-1.78,20,0.1357,-0.31814,0.69264,0.19713,20,0.29623,-0.2842,0.14031,0.13787,20,0.10668,-0.028958,0.58649,1.2191,20,0.90432,0.30335,0.81922,2.178,20,0.56409,-0.25567,0.23433,0.524,20,0.21936,-0.13606,-0.35127,0.25046,20,0.20847,-0.30637,0.90059,-0.34856,20,0.28661,-0.33602,-0.25515,-0.042587,20,0.063607,0.29534,-0.042771,0.20737,18,0.1761,-0.048098,0.052423,0.15313,18,0.75905,0.90518,-0.59741,1.0975,20,0.42336,-0.63558,1.3766,0.77178,20,-0.024967,0.73101,-0.23585,1.1222,20
2016-09-30,0.34077,-0.2959,0.5382,0.16783,20,0.47457,-0.73364,-1.0786,-1.7531,20,0.13508,-0.3665,0.59928,0.19193,20,0.22333,-0.23052,0.1264,-0.041785,20,0.10283,0.059504,0.58699,0.97114,20,0.89417,0.35084,0.87255,1.9757,20,0.53571,-0.26809,0.1312,0.44372,20,0.21219,-0.15449,-0.33059,0.26045,20,0.17595,-0.1077,0.80375,-0.54197,20,0.10264,-0.14326,-0.27743,-0.45046,20,0.069613,0.30477,-0.085385,0.18211,19,0.1761,-0.047187,0.04986,0.14999,19,0.51801,1.348,-0.52722,0.21992,20,0.25864,-0.48176,1.2892,0.46892,20,-0.032736,0.9116,-0.17607,1.1712,20
2016-12-31,0.34979,-0.20356,0.24069,0.11267,20,0.49893,-0.48494,-1.1004,-1.9909,20,0.14191,-0.29563,0.3167,0.23091,20,0.24078,-0.15757,0.033904,-0.14008,20,0.12315,0.16706,0.1773,0.87174,20,0.62476,0.041107,0.87081,1.9025,20,0.5652,-0.070916,-0.16603,0.072639,20,0.22683,-0.12927,-0.21829,0.23508,20,0.16459,-0.022627,0.38266,-0.54611,20,0.072945,-0.087475,-0.38719,-0.2139,20,0.10901,0.37428,-0.15491,0.18885,20,0.18606,0.012949,0.011473,0.11914,20,0.51966,1.2938,-0.31268,0.28503,20,0.27282,-0.19603,0.74545,0.16108,20,-0.10847,0.82665,0.019869,1.1598,20
2017-03-31,0.35268,-0.2034,0.23319,0.17266,20,0.52553,-0.50415,-1.1452,-1.6221,20,0.1624,-0.29347,0.29268,0.37775,20,0.24326,-0.16187,0.015326,-0.0021245,20,0.12343,0.16679,0.20081,0.73923,20,0.52047,0.024661,0.8244,1.924,20,0.62042,-0.064037,-0.2025,0.23416,20,0.23208,-0.12881,-0.23394,0.32334,20,0.17519,-0.0031798,0.37888,-0.5478,20,0.13856,-0.092328,-0.36899,0.025398,20,0.11811,0.38391,-0.15514,0.18995,20,0.17237,0.015139,-0.015641,0.21487,20,0.35066,1.2688,-0.2525,0.11838,20,0.20914,-0.15603,0.62908,-0.65604,20,-0.079977,0.84249,-0.012649,1.382,20
2017-06-30,0.34886,-0.17057,0.049832,0.15825,20,0.50691,-0.5359,-1.0115,-1.6424,20,0.19428,-0.30462,0.010704,0.39868,20,0.23371,-0.1448,-0.051691,-0.016108,20,0.13007,0.18752,0.11719,0.77304,20,0.58643,-0.06453,0.62129,2.0651,20,0.5758,-0.015669,-0.13784,0.19095,20,0.20882,-0.12768,-0.16168,0.30669,20,0.17549,0.045255,0.33401,-0.50469,20,0.12885,-0.066566,-0.4054,0.057655,20,0.091413,0.45944,-0.107,0.09972,20,0.1916,0.011934,-0.087499,0.25616,20,0.42052,1.2821,-0.12108,0.10191,20,0.21338,-0.15705,0.43013,-0.466,20,-0.077383,0.90169,-0.032291,1.4003,20
2017-09-30,0.36668,-0.14462,0.018861,0.37757,20,0.5591,-0.52322,-1.0466,-1.3991,20,0.21155,-0.28735,-0.001756,0.56939,20,0.25824,-0.11752,-0.082766,0.19669,20,0.16554,0.13618,0.18886,0.46503,20,0.57462,-0.05009,0.611,2.2683,20,0.59289,0.011103,-0.16891,0.36484,20,0.20732,-0.12365,-0.16919,0.36847,20,0.18179,0.041616,0.33793,-0.62113,20,0.14322,-0.056822,-0.39245,0.23712,20,0.08404,0.46067,-0.11921,0.16034,20,0.1937,0.043579,-0.10698,0.42882,20,0.38694,1.2746,-0.12633,0.084732,20,0.23309,-0.15159,0.43046,-0.66721,20,-0.094383,0.89022,-0.06345,1.5222,20
2017-12-31,0.37501,-0.14897,0.046481,0.32309,20,0.54793,-0.52052,-1.0805,-1.4966,20,0.24837,-0.30538,0.12054,0.35278,20,0.2671,-0.1199,-0.045036,0.21666,20,0.17573,0.13288,0.21492,0.50797,20,0.55682,-0.046048,0.56319,2.3583,20,0.6008,0.0035543,-0.1425,0.19337,20,0.20333,-0.1233,-0.17869,0.3404,20,0.18307,0.037571,0.34517,-0.59868,20,0.15008,-0.055968,-0.38849,0.11654,20,0.093623,0.46771,-0.14969,0.10646,20,0.19133,0.043909,-0.11599,0.44467,20,0.39083,1.2903,-0.12593,-0.32464,20,0.25131,-0.14124,0.51129,-0.5882,20,-0.09915,0.8861,-0.016803,1.5758,20
2018-03-31,0.39456,-0.16879,0.030458,0.060166,20,0.53469,-0.54421,-0.9987,-2.0005,20,0.28722,-0.31592,0.0306,-0.046529,20,0.28096,-0.17002,0.002436,-0.19004,20,0.23469,0.10837,0.20602,0.46932,20,0.49101,-0.10752,0.69933,2.2183,20,0.62783,-0.033491,-0.11768,-0.1701,20,0.18365,-0.12353,-0.11199,0.46098,20,0.19455,0.028705,0.31768,-0.79807,20,0.17423,-0.051181,-0.43883,-0.19181,20,0.072603,0.47612,-0.13301,0.13498,20,0.21977,0.022981,-0.06803,0.40103,20,0.40068,1.3112,-0.14395,0.10184,20,0.274,-0.19575,0.5277,-1.3033,20,-0.094304,0.91028,0.051376,1.4853,20
2018-06-30,0.39505,-0.17937,0.12313,-0.0016299,20,0.41263,-0.92755,-0.55338,-3.6953,20,0.27705,-0.42131,-0.15776,-0.18265,20,0.26861,-0.2592,-0.16788,-0.31911,20,0.23106,0.093543,0.21173,0.4423,20,0.50569,-0.02276,1.422,2.2174,20,0.58775,-0.25077,-0.70761,-0.45784,20,0.18481,-0.12755,-0.093614,0.42049,20,0.18815,-0.040777,0.19828,-0.57967,20,0.19191,-0.014268,-0.67589,-0.13589,20,0.071538,0.47627,-0.16615,0.14903,20,0.22322,0.012481,-0.10045,0.36458,20,0.33869,1.3798,0.46733,-0.16828,20,0.30136,-0.068094,0.54218,-0.8522,20,-0.096949,0.88313,0.31198,1.6049,20
2018-09-30,0.39185,-0.17671,0.14902,-0.080573,20,0.37216,-0.9518,-0.71286,-3.3948,20,0.3003,-0.43123,-0.19866,-0.2323,20,0.24548,-0.24807,-0.057399,-0.58617,20,0.1797,0.10244,0.22615,0.40638,20,0.57334,-0.023583,1.4167,2.1104,20,0.62622,-0.2567,-0.62163,-1.1304,20,0.19331,-0.12593,-0.071639,0.36021,20,0.15346,-0.022618,0.24463,-0.48871,20,0.19557,0.0022776,-0.61494,-0.38104,20,0.055684,0.4824,-0.14556,0.12803,20,0.36888,0.0066133,-0.1503,0.37097,20,0.34391,1.3953,0.4618,-0.41885,20,0.26918,-0.04763,0.5653,-0.7674,20,-0.074359,0.86548,0.30907,1.6006,20
2018-12-31,0.35897,-0.15981,0.36774,-0.29022,20,0.4445,-0.91497,-0.18593,-4.1343,20,0.32232,-0.41639,0.02907,-0.5309,20,0.31104,-0.23663,0.24571,-0.90679,20,0.15106,0.10948,0.36718,0.31621,20,0.36138,0.011284,1.7434,1.6878,20,0.42611,-0.19344,-0.22311,-1.7306,20,0.21311,-0.12641,-0.04873,0.31767,20,0.13467,-0.047682,0.28556,-0.58718,20,0.1148,0.065043,-0.37002,-0.71364,20,0.055358,0.4952,-0.089339,0.073112,20,0.29557,0.012964,-0.093359,0.24438,20,0.45447,1.3443,0.34465,-0.19883,20,0.17296,0.096117,0.62092,-1.1044,20,-0.077564,0.80033,0.32141,1.5993,20
2019-03-31,0.3343,-0.20257,0.3521,-0.38493,20,0.53561,-0.6568,-0.39354,-3.9371,20,0.27369,-0.45787,0.020329,-0.57909,20,0.34856,-0.18371,0.14711,-0.96907,20,0.17603,0.059273,0.35135,0.25888,20,0.34439,-0.15547,1.7768,1.4351,20,0.38621,-0.27488,-0.2712,-1.9526,20,0.22056,-0.12539,-0.08528,0.26469,20,0.10169,-0.06963,0.27016,-0.84739,20,0.077905,0.010241,-0.33393,-0.88692,20,0.062832,0.50446,-0.099249,0.10586,20,0.29216,-0.029516,-0.07603,0.14804,20,0.61052,1.4293,0.28849,-0.042179,20,0.15048,0.046983,0.62855,-1.3664,20,-0.11017,0.83238,0.36873,1.4367,20
