,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2021-06-30,0.00807664,0.260898,0.0191659,137.322,0.622108,0.459801,0.026613,0.0196698,0.567585,0.419503,-0.284019,-0.209919
2021-09-30,0.00815405,0.272133,0.0198253,138.481,0.642468,0.467632,0.075686,0.0550894,0.614127,0.447003,-0.300419,-0.218665
2021-12-31,0.00821029,0.276139,0.0197853,141.219,0.64108,0.464053,0.0776698,0.0562221,0.62489,0.452333,-0.295882,-0.214177
2022-03-31,0.00816261,0.276405,0.0196609,143.917,0.635471,0.459824,0.0741584,0.0536607,0.61495,0.444975,-0.279107,-0.201961
2022-06-30,0.00781661,0.273488,0.0195083,146.443,0.644834,0.46848,0.116034,0.0843002,0.612158,0.44474,-0.275279,-0.199993
2022-09-30,0.00836878,0.273529,0.0195466,148.607,0.616416,0.447808,0.042538,0.0309026,0.566249,0.411364,-0.241448,-0.175405
2022-12-31,0.00851092,0.270874,0.0193475,151.328,0.610905,0.445427,0.0224188,0.0163461,0.551068,0.401798,-0.236389,-0.172357
2023-03-31,0.00840058,0.276941,0.0194501,153.827,0.608743,0.440157,0.0180716,0.0130668,0.554502,0.400938,-0.231858,-0.167647
2023-06-30,0.00829888,0.279271,0.0195636,155.947,0.599034,0.431741,-0.00367227,-0.00264671,0.541124,0.390003,-0.211399,-0.152361
2023-09-30,0.00809494,0.281565,0.0196417,158.185,0.590392,0.424159,0.0218929,0.0157286,0.569727,0.409312,-0.198241,-0.142423
2023-12-31,0.00794817,0.280656,0.0195156,160.84,0.596357,0.428986,0.0360792,0.0259534,0.573373,0.412453,-0.208695,-0.150123
2024-03-31,0.00791238,0.284201,0.0195482,163.37,0.592916,0.424409,0.0138145,0.00988839,0.573726,0.410673,-0.21152,-0.151406
2024-06-30,0.00757508,0.290132,0.0201772,163.99,0.56913,0.404007,0.045719,0.0324544,0.597124,0.423879,-0.155812,-0.110606
2024-09-30,0.00742782,0.29325,0.0202222,166.426,0.568646,0.40189,0.0479611,0.0338965,0.594388,0.420084,-0.146304,-0.1034
2024-12-31,0.00739407,0.29496,0.0201651,169.094,0.566187,0.399184,0.0365599,0.0257762,0.59168,0.417158,-0.142061,-0.100159
2025-03-31,0.00720466,0.294003,0.0200783,171.601,0.571309,0.403342,0.0562767,0.0397312,0.600768,0.424141,-0.153448,-0.108334
2025-06-30,0.00721383,0.293786,0.0199403,174.39,0.57084,0.403136,0.0580791,0.0410163,0.603187,0.425979,-0.153844,-0.108647
2025-09-30,0.0071356,0.297809,0.0199908,176.93,0.559053,0.392562,0.0664197,0.0466393,0.624147,0.43827,-0.132453,-0.0930071
2025-12-31,0.00695963,0.298043,0.02025,178.249,0.546989,0.383963,0.0572915,0.0402162,0.619072,0.434562,-0.113567,-0.0797195
2026-03-31,0.00690643,0.299078,0.0201676,180.972,0.545673,0.382474,0.0595937,0.0417706,0.624516,0.437737,-0.110854,-0.0777
