quarter,Buyout,Growth,Venture Capital,Fund of Fund,GP-Stake / Continuation Vehicle,Long-term Core,Senior Credit,Junior Credit,국내 사모투자,Hedge Fund,Core RE Equity,국내 부동산,Non-Core RE Equity,Core RE Debt,Non-Core RE Debt,Listed RE,Core 국내 인프라,Non-Core 국내 인프라,Core 해외 인프라,Non-Core 해외 인프라,Super-Core Infrastructure
2025-03-31,,,,,,,,,,,0.00871018,0.00871018,,,,,,,,,
2025-06-30,,,,,,,,,,,0.0153747,0.0153747,,,,,,,,,
2025-09-30,,,,,,,,,,,0.0222438,0.0222438,,0.020664,0.0221855,,,,,,
2025-12-31,,,,,,,,,,,0.0174714,0.0174714,,0.0120383,0.0196913,,,,,,
2026-03-31,,,,,,,,,,,0.0111297,0.0111297,,0.00047924,0.020204,,,,,,
2026-06-30,0.0653538,0.0780428,0.0780428,0.0500753,0.0500753,0.0526467,0.0357288,0.0450869,0.0700834,0.0284638,0.0284711,0.0284711,0.0275977,0.0158728,0.0217811,0.117517,0.0454097,0.0454097,0.0454097,0.0454097,-0.000359474
2026-09-30,0.0419362,0.0578421,0.0578421,0.0434358,0.0434358,0.0384369,0.0182571,0.0290094,0.0350574,0.0137845,0.0217055,0.0217055,0.0260985,-0.00731399,0.0221797,-0.0183774,0.0191724,0.0191724,0.0191724,0.0191724,-0.0273689
