base,code,state,n,ann_mean,ann_vol,hit,worst_q,t_mean
reported,buyout,확장기,20,0.26132,0.0946133,1,0.0042,6.17597
reported,buyout,금융위기,8,-0.07605,0.183712,0.5,-0.1887,-0.585431
reported,buyout,양적완화·유럽위기·테이퍼,16,0.1496,0.0712522,0.875,-0.0642,4.19917
reported,buyout,디스인플레·유가급락,12,0.104933,0.0390794,0.833333,-0.0088,4.65078
reported,buyout,후기 사이클,12,0.158167,0.0410249,0.916667,-0.0102,6.67772
reported,buyout,코로나,4,0.2425,0.216496,0.75,-0.1005,1.12011
reported,buyout,인플레이션·긴축,8,0.16765,0.109929,0.75,-0.0356,2.15678
reported,buyout,디스인플레·고금리,13,0.0741846,0.029648,0.923077,-0.0092,4.51087
reported,vc,확장기,20,0.0922,0.0691179,0.8,-0.0468,2.98281
reported,vc,금융위기,8,-0.05835,0.0935305,0.375,-0.1139,-0.882272
reported,vc,양적완화·유럽위기·테이퍼,16,0.153075,0.0665675,0.8125,-0.0061,4.59909
reported,vc,디스인플레·유가급락,12,0.0971667,0.0547516,0.833333,-0.0263,3.07384
reported,vc,후기 사이클,12,0.177233,0.0524421,1,0.0004,5.85364
reported,vc,코로나,4,0.5642,0.304702,0.75,-0.0385,1.85165
reported,vc,인플레이션·긴축,8,0.10305,0.225402,0.5,-0.133,0.646554
reported,vc,디스인플레·고금리,13,0.112523,0.0626815,0.923077,-0.0251,3.23626
reported,fof_secondary,확장기,20,0.251,0.0977305,0.95,-0.0072,5.74287
reported,fof_secondary,금융위기,8,-0.07195,0.135137,0.375,-0.161,-0.752959
reported,fof_secondary,양적완화·유럽위기·테이퍼,16,0.14515,0.049165,1,0.0093,5.90461
reported,fof_secondary,디스인플레·유가급락,12,0.0771,0.0357914,0.916667,-0.0008,3.73109
reported,fof_secondary,후기 사이클,12,0.142167,0.0412344,0.916667,-0.0074,5.97172
reported,fof_secondary,코로나,4,0.2227,0.235699,0.5,-0.0631,0.944849
reported,fof_secondary,인플레이션·긴축,8,0.1776,0.124468,0.75,-0.0333,2.0179
reported,fof_secondary,디스인플레·고금리,13,0.0568923,0.0211676,0.923077,-0.0058,4.84533
reported,fof_primary,확장기,20,0.1441,0.0684299,0.85,-0.0315,4.70872
reported,fof_primary,금융위기,8,-0.08895,0.125995,0.375,-0.1435,-0.998404
reported,fof_primary,양적완화·유럽위기·테이퍼,16,0.11675,0.0579997,0.875,-0.0266,4.02588
reported,fof_primary,디스인플레·유가급락,12,0.0937,0.0356158,1,0.0013,4.55677
reported,fof_primary,후기 사이클,12,0.122067,0.0290513,0.916667,-0.0029,7.27767
reported,fof_primary,코로나,4,0.301,0.187176,0.75,-0.0473,1.60811
reported,fof_primary,인플레이션·긴축,8,0.10345,0.139436,0.5,-0.0455,1.04923
reported,fof_primary,디스인플레·고금리,13,0.0504923,0.0341603,0.769231,-0.0158,2.66468
reported,senior_loan,확장기,0,,,,,
reported,senior_loan,금융위기,0,,,,,
reported,senior_loan,양적완화·유럽위기·테이퍼,15,0.0854667,0.0714093,0.866667,-0.0718,2.3177
reported,senior_loan,디스인플레·유가급락,12,0.0453667,0.0328755,0.666667,-0.0152,2.39015
reported,senior_loan,후기 사이클,12,0.0779333,0.016832,1,0.007,8.01953
reported,senior_loan,코로나,4,0.0827,0.0866026,0.75,-0.0411,0.954937
reported,senior_loan,인플레이션·긴축,8,0.06445,0.037628,0.75,-0.0129,2.42229
reported,senior_loan,디스인플레·고금리,13,0.0895692,0.0291026,0.846154,-0.004,5.54841
reported,mezzanine,확장기,20,0.17864,0.0763694,0.9,-0.0351,5.23051
reported,mezzanine,금융위기,8,0.08295,0.31176,0.5,-0.1982,0.37628
reported,mezzanine,양적완화·유럽위기·테이퍼,16,0.11575,0.0828709,0.875,-0.1002,2.7935
reported,mezzanine,디스인플레·유가급락,12,0.0286333,0.0530726,0.583333,-0.04,0.934463
reported,mezzanine,후기 사이클,12,0.0839333,0.0286611,0.833333,-0.0085,5.07226
reported,mezzanine,코로나,4,0.074,0.220224,0.75,-0.1454,0.336022
reported,mezzanine,인플레이션·긴축,8,0.13745,0.0620924,0.875,-0.0171,3.13056
reported,mezzanine,디스인플레·고금리,13,0.0877846,0.0164176,1,0.0113,9.63941
reported,apac_equity,확장기,20,0.26072,0.117446,0.85,-0.0443,4.96388
reported,apac_equity,금융위기,8,-0.0232,0.222463,0.375,-0.1738,-0.147484
reported,apac_equity,양적완화·유럽위기·테이퍼,16,0.124325,0.0960016,0.8125,-0.0703,2.59006
reported,apac_equity,디스인플레·유가급락,12,0.107833,0.0655278,0.833333,-0.0515,2.85029
reported,apac_equity,후기 사이클,12,0.1367,0.0423729,0.916667,-0.0011,5.5878
reported,apac_equity,코로나,4,0.3167,0.198093,0.75,-0.059,1.59875
reported,apac_equity,인플레이션·긴축,8,0.03395,0.0870756,0.5,-0.04,0.551389
reported,apac_equity,디스인플레·고금리,13,0.0564,0.0350259,0.769231,-0.0138,2.9029
reported,hfri_fof_cons,확장기,20,0.072037,0.0296036,0.85,-0.00652852,5.44123
reported,hfri_fof_cons,금융위기,8,-0.0582384,0.113586,0.625,-0.11475,-0.725101
reported,hfri_fof_cons,양적완화·유럽위기·테이퍼,16,0.0330064,0.0383699,0.75,-0.0390747,1.72043
reported,hfri_fof_cons,디스인플레·유가급락,12,0.0181109,0.026084,0.833333,-0.0207874,1.20262
reported,hfri_fof_cons,후기 사이클,12,0.0314508,0.0298462,0.833333,-0.0323668,1.82517
reported,hfri_fof_cons,코로나,4,0.0688605,0.122264,0.75,-0.0719268,0.563212
reported,hfri_fof_cons,인플레이션·긴축,8,0.0377179,0.0312087,0.875,-0.0171025,1.70917
reported,hfri_fof_cons,디스인플레·고금리,13,0.0633248,0.0138352,1,0.00730303,8.25145
reported,msci_gpfi,확장기,0,,,,,
reported,msci_gpfi,금융위기,8,-0.186473,0.123324,0.25,-0.154965,-2.13837
reported,msci_gpfi,양적완화·유럽위기·테이퍼,16,0.10582,0.049911,0.9375,-0.008094,4.24035
reported,msci_gpfi,디스인플레·유가급락,12,0.0714183,0.0328622,0.916667,-0.001298,3.76421
reported,msci_gpfi,후기 사이클,12,0.07433,0.0266575,0.916667,-0.00266,4.82954
reported,msci_gpfi,코로나,4,0.03401,0.065559,0.75,-0.033071,0.51877
reported,msci_gpfi,인플레이션·긴축,8,0.103935,0.0744816,0.75,-0.049177,1.97347
reported,msci_gpfi,디스인플레·고금리,8,-0.0550425,0.029225,0.25,-0.03813,-2.66354
reported,re_noncore,확장기,20,0.20506,0.103577,0.95,-0.0012,4.42692
reported,re_noncore,금융위기,8,-0.38775,0.172869,0.125,-0.269,-3.17212
reported,re_noncore,양적완화·유럽위기·테이퍼,16,0.14565,0.0446731,1,0.0035,6.5207
reported,re_noncore,디스인플레·유가급락,12,0.107367,0.0230123,1,0.0102,8.08108
reported,re_noncore,후기 사이클,12,0.105267,0.0213628,1,0.0123,8.5348
reported,re_noncore,코로나,4,0.0163,0.0849968,0.5,-0.0528,0.191772
reported,re_noncore,인플레이션·긴축,8,0.1458,0.0920013,0.625,-0.019,2.24119
reported,re_noncore,디스인플레·고금리,13,-0.0330154,0.029315,0.307692,-0.0345,-2.03034
reported,gl1,확장기,0,,,,,
reported,gl1,금융위기,0,,,,,
reported,gl1,양적완화·유럽위기·테이퍼,8,0.0373775,0.0200157,0.875,-0.01201,2.64091
reported,gl1,디스인플레·유가급락,12,0.0427737,0.0302079,0.833333,-0.024797,2.45254
reported,gl1,후기 사이클,12,0.0545555,0.0242005,0.833333,-0.0037666,3.90457
reported,gl1,코로나,4,0.0625629,0.0427858,0.75,-0.009248,1.46224
reported,gl1,인플레이션·긴축,8,-0.03636,0.0492256,0.5,-0.0441,-1.04459
reported,gl1,디스인플레·고금리,10,0.0627588,0.0454322,0.7,-0.0136,2.18414
reported,gl2,확장기,0,,,,,
reported,gl2,금융위기,0,,,,,
reported,gl2,양적완화·유럽위기·테이퍼,8,0.0841882,0.0173587,1,0.0047014,6.8588
reported,gl2,디스인플레·유가급락,12,0.0949954,0.0422917,0.916667,-0.0308285,3.89052
reported,gl2,후기 사이클,12,0.104241,0.0141831,1,0.0178264,12.73
reported,gl2,코로나,4,0.0543031,0.0100029,1,0.0062294,5.42871
reported,gl2,인플레이션·긴축,8,0.0795101,0.00765806,1,0.0144203,14.6831
reported,gl2,디스인플레·고금리,10,0.0543459,0.0173769,0.9,-0.0013313,4.94498
reported,epra_nareit,확장기,20,0.235339,0.160746,0.7,-0.102459,3.2737
reported,epra_nareit,금융위기,8,-0.0684482,0.457577,0.375,-0.323785,-0.21155
reported,epra_nareit,양적완화·유럽위기·테이퍼,16,0.11897,0.161552,0.75,-0.173012,1.47284
reported,epra_nareit,디스인플레·유가급락,12,0.0708161,0.101512,0.666667,-0.0667155,1.20831
reported,epra_nareit,후기 사이클,12,0.0946646,0.102963,0.75,-0.0545636,1.59246
reported,epra_nareit,코로나,4,-0.0219309,0.382219,0.75,-0.283352,-0.0573778
reported,epra_nareit,인플레이션·긴축,8,-0.00054293,0.203607,0.5,-0.172332,-0.00377109
reported,epra_nareit,디스인플레·고금리,13,0.0829078,0.14467,0.615385,-0.0945201,1.03314
reported,infra_core,확장기,5,0.0768,0.101866,0.8,-0.0407,0.842919
